bus_id,route,passengers,speed_kmph,traffic,weather,time_period,day_type,congestion_score,delay_minutes
B039,R08,27,19,Medium,Rain,Morning,Weekday,49.93,13.05
B029,R01,49,48,Low,Clear,Morning,Weekday,43.87,6.61
B015,R04,22,11,High,Clear,Evening,Weekday,69.83,11.61
B043,R05,53,8,High,Rain,Night,Weekday,84.86,15.42
B008,R04,29,27,Medium,Cloudy,Night,Weekday,63.1,6.19
B021,R06,5,19,Medium,Cloudy,Night,Weekday,39.11,6.16
B039,R03,58,8,High,Clear,Night,Weekend,87.86,12.12
B019,R04,19,31,Medium,Clear,Morning,Weekday,51.31,9.2
B023,R05,38,36,Medium,Cloudy,Evening,Weekend,56.88,9.06
B011,R07,52,8,High,Clear,Morning,Weekday,83.06,16.79
B011,R01,24,23,Medium,Clear,Morning,Weekday,53.7,9.48
B024,R02,58,21,Medium,Clear,Night,Weekend,72.92,7.64
B036,R03,41,8,High,Clear,Night,Weekday,87.01,11.19
B040,R05,31,30,Medium,Cloudy,Afternoon,Weekday,54.51,4.29
B024,R08,26,14,Medium,Rain,Evening,Weekday,49.15,13.6
B003,R06,55,48,Low,Cloudy,Night,Weekend,43.61,6.28
B022,R06,9,32,Medium,Rain,Night,Weekday,51.51,8.38
B002,R06,38,48,Low,Cloudy,Morning,Weekend,40.63,6.95
B024,R08,43,30,Medium,Cloudy,Morning,Weekday,57.4,7.97
B044,R08,7,30,Medium,Clear,Morning,Weekday,40.1,6.81
B030,R03,21,14,High,Clear,Night,Weekday,64.95,8.95
B038,R04,28,34,Medium,Cloudy,Evening,Weekend,53.6,5.8
B002,R03,28,16,High,Clear,Night,Weekday,76.41,12.43
B021,R06,7,40,Low,Cloudy,Night,Weekday,31.23,4.65
B033,R07,49,28,High,Clear,Evening,Weekday,89.92,13.05
B012,R05,11,8,Medium,Rain,Night,Weekday,45.68,9.81
B022,R02,29,18,Medium,Rain,Night,Weekday,51.04,12.02
B044,R02,60,39,Low,Clear,Evening,Weekday,52.29,7.32
B025,R03,7,29,Medium,Clear,Night,Weekday,34.65,5.87
B049,R06,19,38,Medium,Cloudy,Afternoon,Weekday,45.56,7.93
B027,R08,33,27,Medium,Clear,Afternoon,Weekend,59.68,5.49
B042,R01,54,27,High,Clear,Morning,Weekday,91.38,10.4
B028,R07,33,8,High,Rain,Night,Weekday,83.04,11.9
B016,R03,14,8,High,Rain,Evening,Weekend,66.43,13.6
B015,R06,36,37,Medium,Cloudy,Evening,Weekday,64.48,12.17
B047,R04,27,8,High,Clear,Afternoon,Weekday,71.58,10.45
B044,R02,43,15,High,Clear,Morning,Weekend,79.18,9.47
B003,R02,13,42,Low,Clear,Night,Weekday,28.04,3.02
B037,R07,41,39,Medium,Clear,Evening,Weekday,66.21,8.42
B007,R02,56,22,Low,Clear,Evening,Weekday,52.7,9.35
B021,R01,44,40,Low,Clear,Night,Weekday,47.17,5.9
B009,R06,18,43,Low,Rain,Morning,Weekday,31.63,4.94
B039,R06,8,37,Low,Cloudy,Afternoon,Weekday,28.8,2.32
B018,R07,24,42,Medium,Cloudy,Night,Weekday,52.14,4.25
B004,R06,32,28,Medium,Rain,Night,Weekday,57.58,11.67
B025,R08,18,23,Low,Clear,Night,Weekend,42.94,3.16
B014,R07,48,32,High,Clear,Afternoon,Weekday,88.39,10.18
B050,R06,38,13,High,Rain,Evening,Weekday,79.1,16.08
